N   s1         s2         diff       
1   0.16666669 0.16666667 0.00000001 
2   0.21666670 0.21666667 0.00000003 
3   0.24047625 0.24047619 0.00000006 
4   0.25436515 0.25436509 0.00000006 
5   0.26345611 0.26345599 0.00000012 
6   0.26986635 0.26986626 0.00000009 
7   0.27462828 0.27462816 0.00000012 
8   0.27830476 0.27830464 0.00000012 
9   0.28122878 0.28122860 0.00000018 
10  0.28360975 0.28360957 0.00000018 
11  0.28558606 0.28558585 0.00000021 
12  0.28725272 0.28725252 0.00000021 
13  0.28867728 0.28867701 0.00000027 
14  0.28990877 0.28990853 0.00000024 
15  0.29098403 0.29098380 0.00000024 
16  0.29193103 0.29193076 0.00000027 
17  0.29277140 0.29277110 0.00000030 
18  0.29352218 0.29352185 0.00000033 
19  0.29419696 0.29419661 0.00000036 
20  0.29480672 0.29480636 0.00000036 
21  0.29536045 0.29536006 0.00000039 
22  0.29586548 0.29586512 0.00000036 
23  0.29632801 0.29632765 0.00000036 
24  0.29675317 0.29675281 0.00000036 
25  0.29714531 0.29714498 0.00000033 
26  0.29750818 0.29750782 0.00000036 
27  0.29784489 0.29784453 0.00000036 
28  0.29815817 0.29815781 0.00000036 
29  0.29845035 0.29845005 0.00000030 
30  0.29872358 0.29872328 0.00000030 
31  0.29897958 0.29897928 0.00000030 
32  0.29921997 0.29921967 0.00000030 
33  0.29944611 0.29944581 0.00000030 
34  0.29965925 0.29965892 0.00000033 
35  0.29986048 0.29986012 0.00000036 
36  0.30005074 0.30005038 0.00000036 
37  0.30023092 0.30023056 0.00000036 
38  0.30040181 0.30040145 0.00000036 
39  0.30056411 0.30056372 0.00000039 
40  0.30071843 0.30071804 0.00000039 
41  0.30086535 0.30086496 0.00000039 
42  0.30100542 0.30100504 0.00000039 
43  0.30113906 0.30113870 0.00000036 
44  0.30126673 0.30126637 0.00000036 
45  0.30138886 0.30138847 0.00000039 
46  0.30150574 0.30150536 0.00000039 
47  0.30161774 0.30161732 0.00000042 
48  0.30172515 0.30172470 0.00000045 
49  0.30182821 0.30182779 0.00000042 
50  0.30192721 0.30192679 0.00000042 
51  0.30202240 0.30202198 0.00000042 
52  0.30211395 0.30211356 0.00000039 
53  0.30220217 0.30220172 0.00000045 
54  0.30228716 0.30228665 0.00000051 
55  0.30236906 0.30236855 0.00000051 
56  0.30244809 0.30244756 0.00000054 
57  0.30252439 0.30252382 0.00000057 
58  0.30259806 0.30259749 0.00000057 
59  0.30266929 0.30266872 0.00000057 
60  0.30273813 0.30273759 0.00000054 
61  0.30280477 0.30280423 0.00000054 
62  0.30286926 0.30286875 0.00000051 
63  0.30293179 0.30293125 0.00000054 
64  0.30299234 0.30299181 0.00000054 
65  0.30305111 0.30305052 0.00000060 
66  0.30310810 0.30310747 0.00000063 
67  0.30316335 0.30316275 0.00000060 
68  0.30321705 0.30321643 0.00000063 
69  0.30326921 0.30326855 0.00000066 
70  0.30331987 0.30331922 0.00000066 
71  0.30336910 0.30336845 0.00000066 
72  0.30341697 0.30341634 0.00000063 
73  0.30346352 0.30346292 0.00000060 
74  0.30350888 0.30350828 0.00000060 
75  0.30355304 0.30355242 0.00000063 
76  0.30359602 0.30359542 0.00000060 
77  0.30363792 0.30363733 0.00000060 
78  0.30367875 0.30367815 0.00000060 
79  0.30371857 0.30371797 0.00000060 
80  0.30375743 0.30375680 0.00000063 
81  0.30379528 0.30379468 0.00000060 
82  0.30383223 0.30383164 0.00000060 
83  0.30386835 0.30386770 0.00000066 
84  0.30390358 0.30390292 0.00000066 
85  0.30393803 0.30393732 0.00000072 
86  0.30397165 0.30397093 0.00000072 
87  0.30400449 0.30400378 0.00000072 
88  0.30403656 0.30403587 0.00000069 
89  0.30406797 0.30406725 0.00000072 
90  0.30409867 0.30409795 0.00000072 
91  0.30412871 0.30412796 0.00000075 
92  0.30415809 0.30415735 0.00000075 
93  0.30418682 0.30418611 0.00000072 
94  0.30421501 0.30421424 0.00000077 
95  0.30424255 0.30424181 0.00000075 
96  0.30426949 0.30426881 0.00000069 
97  0.30429590 0.30429524 0.00000066 
98  0.30432177 0.30432114 0.00000063 
99  0.30434710 0.30434653 0.00000057 
100 0.30437195 0.30437142 0.00000054 
101 0.30439639 0.30439579 0.00000060 
102 0.30442029 0.30441970 0.00000060 
103 0.30444378 0.30444315 0.00000063 
104 0.30446678 0.30446616 0.00000063 
105 0.30448937 0.30448872 0.00000066 
106 0.30451155 0.30451086 0.00000069 
107 0.30453324 0.30453259 0.00000066 
108 0.30455458 0.30455393 0.00000066 
109 0.30457556 0.30457488 0.00000069 
110 0.30459613 0.30459544 0.00000069 
111 0.30461633 0.30461565 0.00000069 
112 0.30463618 0.30463549 0.00000069 
113 0.30465567 0.30465499 0.00000069 
114 0.30467480 0.30467415 0.00000066 
115 0.30469358 0.30469298 0.00000060 
116 0.30471212 0.30471149 0.00000063 
117 0.30473036 0.30472967 0.00000069 
118 0.30474824 0.30474755 0.00000069 
119 0.30476582 0.30476514 0.00000069 
